trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.002, 'e': 0.7850561775518295}",20,11,5.1239509119954745,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.002, 'e': 0.7834876342628625}",30,0,-229.65055612774134,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 4}",0
123,False,"{'a': 0.002, 'e': 0.7819222249254772}",25,0,-69.36827648242637,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",1
124,False,"{'a': 0.002, 'e': 0.7803599432780343}",30,0,-82.47903507475297,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
125,False,"{'a': 0.002, 'e': 0.7788007830714049}",25,0,-166.23656220016977,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
126,False,"{'a': 0.002, 'e': 0.7772447380689461}",30,0,-94.31337381929895,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
127,False,"{'a': 0.002, 'e': 0.775691802046476}",20,0,-61.758242701955204,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
128,False,"{'a': 0.002, 'e': 0.7741419687922484}",20,0,-79.28504124584465,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
129,False,"{'a': 0.002, 'e': 0.772595232106928}",20,0,-163.24332518543193,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 3}",0
130,False,"{'a': 0.002, 'e': 0.7710515858035663}",25,0,-125.12328606133728,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
131,False,"{'a': 0.002, 'e': 0.7695110237075758}",20,0,-107.10828317556026,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
132,False,"{'a': 0.002, 'e': 0.7679735396567061}",30,0,-177.5972344599498,"{0: 14, 1: 4, 2: 10, 3: 0, 4: 2}",0
133,False,"{'a': 0.002, 'e': 0.7664391275010192}",25,0,-134.52357763950155,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
134,False,"{'a': 0.002, 'e': 0.764907781102864}",20,0,-8.05364408522287,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.002, 'e': 0.7633794943368531}",25,0,-63.20805733397643,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
136,False,"{'a': 0.002, 'e': 0.7618542610898376}",20,0,-123.52824695230802,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
